Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
4410	-556.2796	-567.0581	10.77855	12.37007	2.760081
4420	-539.8252	-551.5969	11.77162	12.61957	2.687742
4430	-561.8381	-571.3633	9.525214	11.71988	2.842353
4440	-551.7966	-559.7736	7.977004	17.64348	2.859289
4450	-544.9216	-555.4314	10.50983	14.52589	2.792717
4460	-555.6198	-567.3158	11.69603	19.15194	2.599769
4470	-554.7169	-561.9524	7.235447	14.59656	3.016186
4480	-554.5922	-562.4493	7.857094	13.51393	2.994034
4490	-554.6243	-562.6923	8.06807	12.54538	2.980762
4500	-551.8016	-560.7617	8.960102	12.4978	2.90903
4510	-555.7266	-565.1599	9.433378	13.81402	2.875727
4520	-548.245	-558.4445	10.19942	14.37621	2.815929
4530	-551.1532	-559.543	8.389783	11.17097	2.917434
4540	-566.5948	-570.2815	3.686752	11.52475	3.340737
4550	-563.2012	-569.0045	5.803254	10.54556	3.123591
4560	-557.7155	-557.7369	0.02140975	12.78291	3.611303
4570	-557.314	-559.958	2.644066	10.58865	3.424211
4580	-564.8715	-564.0532	-0.8182506	12.27042	3.702196
4590	-549.8638	-560.2024	10.33862	10.40101	2.679325
4600	-555.2531	-564.2951	9.041972	10.49112	2.811901
4610	-548.3643	-557.747	9.382666	14.67218	2.867703
4620	-551.4728	-559.5634	8.09059	9.815475	2.838086
4630	-552.7518	-564.9717	12.21992	16.0125	2.657562
4640	-555.4296	-561.8236	6.393966	17.77114	2.943024
4650	-558.1652	-563.4726	5.30737	12.42199	3.201976
